Fecha,HR_stable,RRbar_s,RMSSD_stable,lnRMSSD,cRMSSD,beta_mode,beta_est_90d,beta_use_90d,R2_winsor_90d,Color_Agudo_Diario,Color_Tendencia,Color_Tiebreak
2025-05-12,52.20627925525487,1.149287037037037,47.38349236640552,3.858273905731509,47.38349236640552,none,,,,Indef,Indef,Indef
2025-05-13,49.904594158226914,1.202294117647059,52.969667870260565,3.96971944538878,52.969667870260565,none,,,,Indef,Indef,Indef
2025-05-14,45.390684102453264,1.3218571428571426,59.52782102017373,4.086443783441027,59.52782102017373,none,,,,Verde,Indef,Verde
2025-05-15,54.41554729922834,1.102626050420168,30.383762041271165,3.4139083223275444,30.383762041271165,none,,,,Rojo,Indef,Rojo
2025-05-16,49.43344793213581,1.213753086419753,49.06023677376757,3.89304886502676,49.06023677376757,none,,,,Verde,Indef,Verde
2025-05-17,47.52823822795951,1.2624074074074074,50.62502368647164,3.924445993307515,50.62502368647164,none,,,,Verde,Indef,Verde
2025-05-19,48.83279289986695,1.2286825396825394,53.33689154797083,3.9766282408647218,53.33689154797083,none,,,,Verde,Indef,Verde
2025-05-21,51.472965489425306,1.1656604477611945,38.33212829892299,3.6462884035207592,38.33212829892299,none,,,,Rojo,Indef,Rojo
2025-05-22,53.30888165175324,1.1255160142348757,34.5570439377312,3.542611406068429,34.5570439377312,none,,,,Rojo,Indef,Rojo
2025-05-23,49.486043960508674,1.212463054187192,44.57316823754704,3.797132068963087,44.57316823754704,none,,,,Verde,Indef,Verde
2025-05-24,54.54767749155922,1.099955172413793,43.55746313957816,3.7740810580671487,43.55746313957816,none,,,,Verde,Indef,Verde
2025-05-25,51.16600366832614,1.1726536312849165,46.12909340564767,3.8314438443449057,46.12909340564767,none,,,,Verde,Indef,Verde
2025-05-26,46.49830027221695,1.2903697478991596,57.72731622009362,4.055730479512982,57.72731622009362,none,,,,Verde,Indef,Verde
2025-05-27,48.33179899050824,1.241418719211823,44.651122855727,3.798879454950917,44.651122855727,none,,,,Verde,Indef,Verde
2025-05-28,49.547373833377485,1.2109622641509432,44.52795342662445,3.796117158848395,44.52795342662445,none,,,,Verde,Indef,Verde
2025-05-29,48.992135277677775,1.2246863636363636,46.802216705883424,3.845930567312221,46.802216705883424,none,,,,Verde,Verde,Verde
2025-05-30,45.90497596761027,1.3070478468899522,57.18660413337808,4.046319677485768,57.18660413337808,none,,,,Verde,Verde,Verde
2025-05-31,52.57519025370843,1.1412226890756303,33.42363296391236,3.5092632235401884,33.42363296391236,none,,,,Rojo,Rojo,Rojo
2025-06-01,52.67371559506391,1.1390880503144654,41.483182500620025,3.7252881041554335,41.483182500620025,none,,,,Verde,Ámbar,Verde
2025-06-02,48.53999543435686,1.2360940594059406,51.13609779316796,3.934490662555309,51.13609779316796,none,,,,Verde,Verde,Verde
2025-06-03,46.79241623430151,1.282259067357513,60.10732588462077,4.096131729031395,60.10732588462077,none,,,,Verde,Verde,Verde
2025-06-04,46.68736112382554,1.285144385026738,57.86720058224527,4.058150740167279,57.86720058224527,none,,,,Verde,Verde,Verde
2025-06-05,51.74705498378255,1.1594862745098038,34.69728483329999,3.546661437012404,34.69728483329999,none,,,,Ámbar,Rojo,Ámbar
2025-06-06,46.4767371699744,1.2909684210526315,50.2305323780141,3.916623056511562,50.2305323780141,none,,,,Verde,Verde,Verde
2025-06-07,50.30399878967823,1.1927481203007515,42.25430646803163,3.743706276846288,42.25430646803163,none,,,,Verde,Ámbar,Verde
2025-06-09,50.0500835843096,1.1987991967871483,39.55197682755872,3.677615675962248,39.55197682755872,none,,,,Verde,Ámbar,Verde
2025-06-10,51.47116166623959,1.165701298701299,47.45843056379916,3.859854181851466,47.45843056379916,none,,,,Verde,Verde,Verde
